year,management,professional,clerical,sales,total,total_index_2025_100,yoy_pct
2025,120,1290,1230,850,3490,100.0,
2026,119.62,1283.12,1218.19,846.37,3467.29,99.35,-0.651
2027,118.98,1271.8,1198.85,840.4,3430.04,98.28,-1.074
2028,117.96,1253.61,1167.98,830.78,3370.34,96.57,-1.74
2029,116.36,1225.31,1124.8,815.78,3282.25,94.05,-2.614
2030,113.97,1186.71,1074.91,793.4,3168.99,90.8,-3.451
2031,110.93,1142.99,1016.9,761.95,3032.77,86.9,-4.299
2032,107.56,1093.7,950.52,727.74,2879.51,82.51,-5.053
2033,103.86,1039.31,877.18,691.22,2711.57,77.7,-5.833
2034,99.9,981.15,799.65,653.08,2533.78,72.6,-6.556
2035,95.77,920.95,721.22,614.24,2352.18,67.4,-7.167
2036,91.55,860.41,644.79,575.55,2172.29,62.24,-7.648
2037,87.33,800.84,572.4,537.68,1998.26,57.26,-8.012
2038,83.16,743.17,505.27,501.12,1832.73,52.51,-8.284
2039,79.08,687.97,443.95,466.13,1677.13,48.06,-8.49
2040,75.1,635.54,388.54,432.86,1532.03,43.9,-8.651
2041,71.25,586.02,338.84,401.38,1397.49,40.04,-8.782
2042,67.53,539.45,294.56,371.68,1273.22,36.48,-8.892
2043,63.94,495.79,255.28,343.75,1158.76,33.2,-8.989
2044,60.49,454.96,220.6,317.53,1053.58,30.19,-9.077
2045,57.18,416.87,190.08,292.96,957.1,27.42,-9.158
