year,management,professional,clerical,sales,total,total_index_2025_100,yoy_pct
2025,120,1290,1230,850,3490,100.0,
2026,119.89,1287.97,1226.52,848.93,3483.3,99.81,-0.192
2027,119.71,1284.87,1221.19,847.29,3473.07,99.51,-0.294
2028,119.45,1280.15,1213.12,844.8,3457.52,99.07,-0.447
2029,119.05,1273.04,1201.0,841.05,3434.14,98.4,-0.676
2030,118.46,1262.45,1183.02,835.45,3399.38,97.4,-1.012
2031,117.58,1246.93,1156.84,827.24,3348.59,95.95,-1.494
2032,116.32,1224.68,1119.67,815.43,3276.1,93.87,-2.165
2033,114.56,1193.67,1078.71,798.91,3185.85,91.29,-2.755
2034,112.16,1156.99,1036.46,776.62,3082.23,88.32,-3.253
2035,109.31,1119.43,992.64,747.79,2969.17,85.08,-3.668
2036,106.4,1080.92,947.2,717.04,2851.55,81.71,-3.961
2037,103.44,1041.52,900.36,686.38,2731.7,78.27,-4.203
2038,100.44,1001.49,852.61,655.94,2610.47,74.8,-4.438
2039,97.42,961.16,804.57,625.89,2489.03,71.32,-4.652
2040,94.39,920.9,756.91,596.4,2368.61,67.87,-4.838
2041,91.38,881.07,710.21,567.66,2250.31,64.48,-4.994
2042,88.4,841.94,664.91,539.77,2135.02,61.18,-5.124
2043,85.47,803.73,621.33,512.83,2023.36,57.98,-5.23
2044,82.59,766.59,579.67,486.89,1915.74,54.89,-5.319
2045,79.77,730.6,540.05,461.99,1812.4,51.93,-5.394
