year,management,professional,clerical,sales,total,total_index_2025_100,yoy_pct
2025,120,1290,1230,850,3490,100.0,
2026,119.95,1289.11,1228.48,849.53,3487.08,99.92,-0.084
2027,119.88,1287.88,1226.36,848.88,3482.99,99.8,-0.117
2028,119.79,1286.15,1223.4,847.97,3477.31,99.64,-0.163
2029,119.65,1283.76,1219.3,846.71,3469.42,99.41,-0.227
2030,119.47,1280.45,1213.64,844.96,3458.51,99.1,-0.314
2031,119.21,1275.89,1205.87,842.56,3443.53,98.67,-0.433
2032,118.86,1269.66,1195.28,839.27,3423.07,98.08,-0.594
2033,118.39,1261.22,1180.96,834.8,3395.36,97.29,-0.809
2034,117.75,1249.87,1161.83,828.79,3358.23,96.22,-1.094
2035,116.9,1234.8,1136.61,820.79,3309.1,94.82,-1.463
2036,115.78,1215.09,1103.96,810.31,3245.13,92.98,-1.933
2037,114.33,1189.77,1065.18,796.81,3166.09,90.72,-2.436
2038,112.5,1157.96,1027.2,779.76,3077.42,88.18,-2.801
2039,110.22,1123.01,989.93,758.77,2981.93,85.44,-3.103
2040,107.48,1088.67,953.32,733.58,2883.05,82.61,-3.316
2041,104.77,1054.93,917.33,704.24,2781.26,79.69,-3.531
2042,102.09,1021.75,881.97,675.82,2681.63,76.84,-3.582
2043,99.46,989.17,847.26,648.3,2584.2,74.05,-3.633
2044,96.87,957.2,813.26,621.69,2489.02,71.32,-3.683
2045,94.32,925.87,780.04,595.96,2396.19,68.66,-3.729
